MovieID,Title,Title_Clean,Year,Genre_Count,Genres,Language,Country,Total Views,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
1,Toy Story (1995),Toy Story,1995.0,3,Animation|Children's|Comedy,German,Italy,69118,Animation,Children's,Comedy,,,
2,Jumanji (1995),Jumanji,1995.0,3,Adventure|Children's|Fantasy,Spanish,UK,1661,Adventure,Children's,Fantasy,,,
3,Grumpier Old Men (1995),Grumpier Old Men,1995.0,2,Comedy|Romance,English,India,22205,Comedy,Romance,,,,
4,Waiting to Exhale (1995),Waiting to Exhale,1995.0,2,Comedy|Drama,Spanish,India,84783,Comedy,Drama,,,,
5,Father of the Bride Part II (1995),Father of the Bride Part II,1995.0,1,Comedy,German,India,61291,Comedy,,,,,
6,Heat (1995),Heat,1995.0,3,Action|Crime|Thriller,English,Canada,40658,Action,Crime,Thriller,,,
7,Sabrina (1995),Sabrina,1995.0,2,Comedy|Romance,German,France,63623,Comedy,Romance,,,,
8,Tom and Huck (1995),Tom and Huck,1995.0,2,Adventure|Children's,French,India,50355,Adventure,Children's,,,,
9,Sudden Death (1995),Sudden Death,1995.0,1,Action,Spanish,UK,3943,Action,,,,,
10,GoldenEye (1995),GoldenEye,1995.0,3,Action|Adventure|Thriller,Spanish,Canada,74950,Action,Adventure,Thriller,,,
11,"American President, The (1995)","American President, The",1995.0,3,Comedy|Drama|Romance,French,France,79317,Comedy,Drama,Romance,,,
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995.0,2,Comedy|Horror,German,France,59858,Comedy,Horror,,,,
13,Balto (1995),Balto,1995.0,2,Animation|Children's,Italian,UK,39370,Animation,Children's,,,,
14,Nixon (1995),Nixon,1995.0,1,Drama,Spanish,UK,98502,Drama,,,,,
15,Cutthroat Island (1995),Cutthroat Island,1995.0,3,Action|Adventure|Romance,Spanish,India,41754,Action,Adventure,Romance,,,
16,Casino (not_def),Casino,,2,Drama|Thriller,German,France,4961,Drama,Thriller,,,,
17,Sense and Sensibility (1995),Sense and Sensibility,1995.0,2,Drama|Romance,Italian,France,91178,Drama,Romance,,,,
18,Four Rooms (1995),Four Rooms,1995.0,1,Thriller,German,Canada,15056,Thriller,,,,,
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995.0,1,Comedy,Spanish,USA,58261,Comedy,,,,,
20,Money Train (1995),Money Train,1995.0,1,Action,German,UK,13604,Action,,,,,
21,Get Shorty (1995),Get Shorty,1995.0,3,Action|Comedy|Drama,German,India,90108,Action,Comedy,Drama,,,
22,Copycat (1995),Copycat,1995.0,3,Crime|Drama|Thriller,Italian,France,37070,Crime,Drama,Thriller,,,
23,Assassins (1995),Assassins,1995.0,1,Thriller,English,Italy,25385,Thriller,,,,,
24,Powder (1995),Powder,1995.0,2,Drama|Sci-Fi,French,USA,11556,Drama,Sci-Fi,,,,
25,Leaving Las Vegas (1995),Leaving Las Vegas,1995.0,2,Drama|Romance,French,Italy,3607,Drama,Romance,,,,
26,Othello (1995),Othello,1995.0,1,Drama,Italian,Italy,33580,Drama,,,,,
27,Now and Then (1995),Now and Then,1995.0,1,Drama,Spanish,India,95762,Drama,,,,,
28,Persuasion (1995),Persuasion,1995.0,1,Romance,English,Canada,66047,Romance,,,,,
29,"City of Lost Children, The (1995)","City of Lost Children, The",1995.0,2,Adventure|Sci-Fi,Italian,India,20596,Adventure,Sci-Fi,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0,1,Drama,English,France,10068,Drama,,,,,
31,Dangerous Minds (1995),Dangerous Minds,1995.0,1,Drama,Spanish,Italy,8564,Drama,,,,,
32,Twelve Monkeys (1995),Twelve Monkeys,1995.0,2,Drama|Sci-Fi,Italian,France,1838,Drama,Sci-Fi,,,,
